Nome,Squadra,Ruolo,Media,ALG FCP,Punteggio FantaCalcioPedia,Solidità fantainvestimento,Resistenza infortuni,Ultimi Arrivi,In Crescita,Rischiosi,Fuoriclasse,Outsider,Titolari,Economici,Giovani,Infortunati,Buona Media,Goleador,Assistman,Rigorista,Sp. Piazzati,Presenze previste,Gol previsti,Assist previsti
FIORDILINO LUCA,Venezia,C,52.5,47,63,40,60,,,,,,,,,,,,,,,0/10,0/3,0/3
Thuram K.,Juventus,C,52.25,62,67,40,40,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/3
Badelj,Genoa,C,52.0,63,65,40,40,,,,,,,,,,,,,,,21/30,0/3,0/3
Sensi,Monza,C,51.75,57,70,60,20,,,,,,,,,,,Goleador,,,,0/10,0/3,0/3
Tessmann,Venezia,C,51.5,47,59,40,60,,,,,,,,,,,,,,,0/10,0/1,0/2
Adopo,Cagliari,C,51.5,41,65,40,60,,,,,Outsider,,,,,,Goleador,,,,21/30,0/3,0/2
ANDERSEN MAGNUS KOFOD,Venezia,C,51.25,48,57,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Crnigoj,Venezia,C,51.25,46,59,40,60,,,,,,,,,,,,,,,0/10,0/3,0/2
INFANTINO GINO,Fiorentina,C,51.0,45,59,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Zerbin,Napoli,C,50.75,73,30,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Deiola,Cagliari,C,50.75,61,62,40,40,,,,,,,,,,,,,,,21/30,0/3,0/3
Fabbian,Bologna,C,50.75,57,66,20,60,,,,,Outsider,,,,,,Goleador,,,,11/20,3/5,0/3
Pierret,Lecce,C,50.5,46,56,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Belahyane,Verona,C,50.5,43,59,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Braunoder,Como,C,50.25,56,65,20,60,,,,,Outsider,,,,,,,,,,21/30,3/5,3/5
Bondo,Monza,C,50.0,59,61,20,60,,,,,,,,,,,,,,,0/10,0/1,0/1
Ilic,Torino,C,49.75,69,30,40,60,,,,,,,,,,,,,,,21/30,0/3,0/3
Pisilli,Roma,C,49.75,62,57,20,60,,,,,,,,,,,Goleador,,,,0/10,0/3,0/3
SILVA DANI,Verona,C,49.25,44,53,40,60,,,,,,,,,,,,,,,0/10,0/2,0/2
Moro N.,Bologna,C,48.75,56,59,40,40,,,,,,,,,,,,,,,11/20,0,0
ABDILGAARD OLIVER,Como,C,48.75,52,63,20,60,,,,,,,,,,Buona Media,,,,,11/20,0/2,0/2
Bianco,Fiorentina,C,48.25,54,59,20,60,,,,,,,,,,,,,,,0/10,0/3,0/3
Belardinelli,Empoli,C,47.5,48,62,40,40,,,,,,,,,,,,,,,11/20,0/3,0/3
Prati,Cagliari,C,47.0,57,51,20,60,,,,,Outsider,,,,,,,,,,21/30,0/3,0/3
Camara D.,Parma,C,47.0,48,60,40,40,,,,,,,,,,,,,,,11/20,0/3,0/3
MELEGONI FILIPPO,Genoa,C,46.75,49,58,20,60,,,,,,,,,,,,,,,0/10,0/2,0/2
Payero,Udinese,C,46.0,63,61,40,20,,,,,,,,,,,Goleador,,,,11/20,3/5,3/5
Gineitis,Torino,C,45.75,44,59,20,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Ferguson,Bologna,C,43.5,60,74,20,20,,,,,,,,,,,,,,,0/10,0/3,0/3
SAMEK DANIEL,Lecce,C,40.5,46,36,40,40,,,,,,,,,,,,,,,0/10,0,0
Jajalo,Venezia,C,40.0,39,61,40,20,,,,,,,,,,,,,,,11/20,0/1,0/1
HAINAUT ANTOINE,Parma,C,39.75,46,53,20,40,,,,,,,,,,,,,,,0/10,0/3,0/2
Doumbia I.,Venezia,C,34.25,0,57,20,60,,,,,,,,,,,,,,,11/20,0/3,0/3
CASSA FEDERICO,Atalanta,C,21.75,0,47,20,20,,,,,,,,,,,,,,,0/10,0,0
